HostName;Description;Severity;Status;Occurrence_Time
rc51e00vm001a;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm011f;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:37
Zabbix server;More than 100 items having missing data for more than 10 minutes;WARNING;OK;07/01/2020 23:37
rc51e00vm011d;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:37
rc51e00vm011b;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:37
m11air2;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:37
rc51e00vm001g;[p]SFA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]CDT-admin: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001g;[p]MBA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001g;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:37
rc51e00vm001g;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:37
rc51e00h001f;InvFmt 10.96.2.113 TCP Connectivity port 80 Availability;AVERAGE;OK;07/01/2020 23:37
rc51e00vm001d;[p]SFA: HTTP service is down on MiddleWare FE 10.96.2.53;DISASTER;OK;07/01/2020 23:37
rc51e00vm001g;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001d;[p]MBA: HTTP service is down on MiddleWare FE 10.96.2.53;DISASTER;OK;07/01/2020 23:37
rc51e00vm003q;Sentry Login Page Performance;AVERAGE;OK;07/01/2020 23:37
rc51e00vm003bb;Sentry Login Page Performance;AVERAGE;OK;07/01/2020 23:37
rc51e00vm001e;[p]MBA-admin: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
m11sdp21a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:37
rc51e00vm001e;[p]SFA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm003f;Sentry Login Page Performance;AVERAGE;OK;07/01/2020 23:37
rc51e00h002a;InvFmt 10.96.2.107 TCP Connectivity port 80 Availability;AVERAGE;OK;07/01/2020 23:37
rc51e00vm001e;[p]MBA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]MBA-admin: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001e;[p]SDM-Viewer: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]SFA: HTTP service is down on MiddleWare FE 10.96.2.57;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001e;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:37
rc51e00vm001e;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001c;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001e;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001c;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:37
rc51e00vm001c;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001c;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001e;[p]CDT-admin: HTTP Connection time from Web Front to Middleware 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:37
rc51e00vm001f;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.56 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm003r;Message Queue Performance Monitor for MQ3;AVERAGE;OK;07/01/2020 23:37
rc51e00vm007h;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:37
rc51e00vm003cc;Message Queue Performance Monitor for MQ3;AVERAGE;OK;07/01/2020 23:37
rc51e00vm003a;Sentry Login Page Performance;AVERAGE;OK;07/01/2020 23:37
rc51e00vm003bb;Message Queue Performance Monitor for MQ3;AVERAGE;OK;07/01/2020 23:37
rc51e00vm007g;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:37
rc51e00vm011p;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:37
rc51e00vm022;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:37
rc51e00vm003g;Message Queue Performance Monitor for MQ3;AVERAGE;OK;07/01/2020 23:37
rc51e00vm011o;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:37
m11sdp21a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:37
rc51e00vm001a;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:37
rc51e00vm001a;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm001a;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:37
rc51e00vm011n;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:37
m11air2;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:37
rc51e00vm018b;Load Average Check;WARNING;OK;07/01/2020 23:37
rc51e00vm011m;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:36
rc51e00vm011l;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:36
rc51e00vm011k;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:36
m11air3;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:36
m9sdp16a;Output CDR 1;HIGH;OK;07/01/2020 23:36
rc51e00vm001g;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:36
rc51e00vm013;Free disk space is less than 20% on volume /apps;HIGH;OK;07/01/2020 23:36
m9sdp16a;Output CDR 1;HIGH;OK;07/01/2020 23:36
rc51e00vm001c;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:36
rc51e00vm001c;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:36
rc51e00vm001c;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:36
rc51e00vm001c;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:36
rc51e00vm001c;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:36
rc51e00vm001c;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:36
rc51e00vm001c;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:36
rc51e00vm018b;Load Average Check;WARNING;OK;07/01/2020 23:36
rc51e00vm011f;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:35
rc51e00vm011d;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:35
rc51e00vm011b;XML RPC connection to RBS server 10.96.2.129 or 10.96.2.130;AVERAGE;OK;07/01/2020 23:35
rc51e00vm001g;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.57 is high;DISASTER;OK;07/01/2020 23:35
m11sdp20a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:35
m11sdp21a;Generic error during ftp on {HOST.HOST};AVERAGE;OK;07/01/2020 23:35
rc51e00vm001c;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:35
m11sdp20a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:35
rc51e00vm001c;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:35
rc51e00vm001c;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.53 is high;DISASTER;OK;07/01/2020 23:35
rc51e00vm001c;[p]Service Availability of B2B SFA;DISASTER;OK;07/01/2020 23:35
rc51e00vm001c;[p]SFA: HTTP Connection time from Web Front to Middleware FE 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:35
rc51e00vm001c;[p]MBA-admin: HTTP Connection time from Web Front to Middleware 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:35
rc51e00vm011m;Message Queue 3 TCP availability;AVERAGE;OK;07/01/2020 23:35
rc51e00vm001c;[p]MBA: HTTP Connection time from Web Front to Middleware 10.96.2.52 is high;DISASTER;OK;07/01/2020 23:35
rc51e00vm011k;Message Queue 3 TCP availability;AVERAGE;OK;07/01/2020 23:35
rc51e00vm007d;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:35
rc51e00vm007c;Ping loss is too high on {HOST.NAME};HIGH;OK;07/01/2020 23:35
m11air3;Configuration error. on {HOST.HOST};AVERAGE;PROBLEM;07/01/2020 23:35
m4sdp26a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:35
m11sdp21a;Error renaming remote file on {HOST.HOST};AVERAGE;OK;07/01/2020 23:35
m4sdp26a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:34
m8sdp23a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:34
CCN07;"{{ITEM.VALUE}.regsub(""(SpecificProblem)=(.*)"",""\2"")} on {HOST.HOST}";WARNING;PROBLEM;07/01/2020 23:34
m8sdp23a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:34
ALG-S2-L-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:34
ALG-S1-L-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:34
ALG-S1-T-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:34
ALG-S1-T-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:34
m8sdp22a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:34
m11sdp20a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:34
ALG-S1-L-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:34
ALG-S1-T-LB-1.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:34
ALG-S1-T-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:34
ALG-S2-L-LB-2.dbss.otalgerie.com;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:34
m11sdp20a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:33
m8sdp22a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:33
m4sdp24a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:33
m8sdp22a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:33
m8sdp23a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:33
m11sdp21a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:33
m11sdp20a;Error renaming remote file on {HOST.HOST};AVERAGE;OK;07/01/2020 23:33
m11sdp21a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:33
m8sdp23a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:33
dzalb01a1;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:33
dzalb01a2;SNMP Not Reachable on {HOST.NAME};DISASTER;OK;07/01/2020 23:33
m8sdp22a;Reservation lost on {HOST.HOST};WARNING;OK;07/01/2020 23:33
